Id,R,Rm,Name,Team,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
6537,D,Dd;Dc,Goglichidze,Empoli,23,5.74,5.7,0,0,0,0,0,0,0,0,1,0
252,D,B;Ds;E,Biraghi,Torino,9,5.72,5.78,1,0,0,0,0,0,0,1,0,1
2285,D,Dc,Bani,Genoa,16,5.88,5.78,0,0,0,0,0,0,0,3,0,0
6245,D,Dd;Dc,Vogliacco,Parma,16,5.66,5.78,2,0,0,0,0,0,0,4,0,1
294,D,Dc,Rugani,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
460,D,Dc,Romagnoli,Lazio,22,5.8,5.73,0,0,0,0,0,0,0,1,1,0
4657,D,Dd;E,Celik,Roma,21,5.71,5.69,0,0,0,0,0,0,1,3,0,0
4263,D,Dc,Kabasele,Udinese,13,5.69,5.92,1,0,0,0,0,0,0,0,0,0
5764,D,Dc,Coppola D.,Verona,22,5.66,5.64,1,0,0,0,0,0,1,9,0,0
6820,D,E,Sosa B.,Torino,18,5.72,5.72,0,0,0,0,0,0,0,0,0,0
6883,D,Dc,Jean,Lecce,14,5.79,5.79,0,0,0,0,0,0,0,0,0,0
5626,D,B;Dd;Ds,Guilbert,Lecce,21,5.74,5.6,0,0,0,0,0,0,0,2,2,0
6896,D,Dd;E,Van Der Brempt,Como,13,5.96,5.92,0,0,0,0,0,0,1,3,0,0
2406,D,Dc,Hummels,Roma,10,6.05,5.8,0,0,0,0,0,0,0,1,0,1
7018,D,Dc,Nelsson,Roma,2,6,6,0,0,0,0,0,0,0,0,0,0
695,D,Dc,Toloi,Atalanta,6,5.83,5.83,0,0,0,0,0,0,0,0,0,0
5067,D,E,Bakker,Atalanta,1,6,6,0,0,0,0,0,0,0,0,0,0
6066,D,Dd;Dc,Posch,Atalanta,11,5.91,5.86,0,0,0,0,0,0,0,1,0,0
5406,D,Dd;E,Di Pardo,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
418,D,Dc,Goldaniga,Como,19,5.74,5.5,0,0,0,0,0,0,0,7,1,0
5435,D,Ds;E,Moreno Alb.,Como,17,5.91,5.79,0,0,0,0,0,0,0,4,0,0
4374,D,Dc,Walukiewicz,Torino,19,5.79,5.68,0,0,0,0,0,0,0,5,0,0
5450,D,Dd;E,Stojanovic,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0
6039,D,B;Ds;E,Cabal,Juventus,6,6.33,6.25,0,0,0,0,0,0,0,1,0,0
2728,D,Ds;E,Pellegrini Lu.,Lazio,11,6,5.91,0,0,0,0,0,0,0,2,0,0
6055,D,Dc,Thiaw,Milan,16,5.78,5.5,0,0,0,0,0,0,0,1,0,2
226,D,Dc,Izzo,Monza,22,5.66,5.48,0,0,0,0,0,0,1,10,0,0
4904,D,Dc,Mari',Fiorentina,20,5.82,5.72,0,0,0,0,0,0,0,2,1,0
4925,D,Ds;Dc,Carboni A.,Monza,20,5.55,5.55,0,0,0,0,0,0,2,4,0,0
6396,D,Dc,Natan,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
256,D,Ds;Dc,Juan Jesus,Napoli,10,5.75,5.75,0,0,0,0,0,0,1,2,0,0
4994,D,B;Dd;E,Vojvoda,Como,17,5.82,5.71,0,0,0,0,0,0,0,4,0,0
6485,D,Dc,Kristensen T.,Udinese,13,5.65,5.54,0,0,0,0,0,0,0,3,0,0
6256,D,B;Dd;E,Ferreira J.,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
5447,D,Dc,Altare,Venezia,12,6,5.75,0,0,0,0,0,0,0,2,0,1
5484,D,Dc,Svoboda,Venezia,16,5.69,5.84,1,0,0,0,0,0,0,1,0,0
6673,D,B;Ds;E,Sverko,Venezia,13,5.77,5.88,1,0,0,0,0,0,0,3,0,0
4493,D,Dc,Dawidowicz,Verona,16,5.41,5.19,0,0,0,0,0,0,0,5,1,0
2181,D,Dc,Palomino,Cagliari,8,5.75,6.06,1,0,0,0,0,0,0,1,0,0
6426,D,E,Pedersen,Torino,20,5.6,5.52,0,0,0,0,0,0,0,3,0,0
4284,D,E;M,Sergi Roberto,Como,10,6.05,6,0,0,0,0,0,0,1,3,0,0
6887,D,Dc,Leoni,Parma,7,5.5,5.79,1,0,0,0,0,0,0,0,1,0
5578,D,Dd;Dc,Kossounou,Atalanta,11,5.95,5.91,0,0,0,0,0,0,0,1,0,0
6975,D,Dd;E,Alberto Costa,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
6867,D,Ds;E,Valle,Como,4,5.88,5.75,0,0,0,0,0,0,0,1,0,0
7014,D,B;Dd;E,Smolcic I.,Como,3,6.33,6.33,0,0,0,0,0,0,0,0,0,0
357,D,Dd;E,Calabria,Bologna,6,5.83,5.75,0,0,0,0,0,0,0,1,0,0
6665,D,Dd;Ds;E,Coulibaly W.,Parma,14,5.54,5.36,0,0,0,0,0,0,1,1,1,1
5848,D,Dd;E,Ebosele,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
6631,D,Dc,Ghilardi,Verona,14,5.68,5.5,0,0,0,0,0,0,0,5,0,0
2769,D,Dc,Magnani,Verona,14,5.29,5.43,1,0,0,0,0,0,0,2,0,0
1891,D,Dd;Dc,Ceccherini,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
4982,D,Dc,Erlic,Bologna,4,6.25,6.25,0,0,0,0,0,0,0,0,0,0
5695,D,Ds;E,Haps,Venezia,15,5.7,5.6,0,0,0,0,0,0,0,3,0,0
6021,D,Dd;Dc,Abankwah,Udinese,2,6.25,6,0,0,0,0,0,0,0,1,0,0
5532,D,Ds;E,Bradaric,Verona,17,5.47,5.32,0,0,0,0,0,0,0,5,0,0
6957,D,Dc,Valentini N.,Verona,3,5.67,5.67,0,0,0,0,0,0,0,0,0,0
6965,D,Ds;E,Lovik,Parma,2,5.75,5.75,0,0,0,0,0,0,0,0,0,0
6985,D,Ds;Dc,Candè,Venezia,5,5.8,5.7,0,0,0,0,0,0,0,1,0,0
5324,D,B;Dd;Ds,Godfrey,Atalanta,1,6,6,0,0,0,0,0,0,0,0,0,0
6464,D,Dc,Wieteska,Cagliari,5,5.6,5.5,0,0,0,0,0,0,0,1,0,0
6438,D,Dd;Dc,Hatzidiakos,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
6231,D,Dd;Ds;E,Azzi,Cagliari,6,6,5.83,0,0,0,0,0,0,0,2,0,0
134,D,Ds;Dc,Barba,Como,6,5.42,5.42,0,0,0,0,0,0,0,0,0,0
5603,D,Dc,Pongracic,Fiorentina,6,5.83,5.33,0,0,0,0,0,0,0,0,1,1
6660,D,Dc,Marcandalli,Venezia,3,5.5,5.5,0,0,0,0,0,0,0,0,0,0
6244,D,Dc,Matturro,Genoa,9,5.67,5.56,0,0,0,0,0,0,0,2,0,0
5498,D,Dc,Casale,Bologna,9,5.61,5.39,0,0,0,0,0,0,0,0,0,1
327,D,Dd;Dc,Patric,Lazio,8,5.62,5.88,1,0,0,0,0,0,0,2,0,0
5812,D,Dd;E,Terracciano F.,Milan,7,5.71,5.57,0,0,0,0,0,0,0,2,0,0
2737,D,Dc,Bettella,Monza,0,0,0,0,0,0,0,0,0,0,0,0,0
253,D,B;Dd;Ds,D'Ambrosio,Monza,12,5.62,5.46,0,0,0,0,0,0,0,2,1,0
4495,D,Dc,Kumbulla,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
6647,D,Ds;E,Dahl,Roma,2,6,6,0,0,0,0,0,0,0,0,0,0
6533,D,Dc,Giannetti L.,Udinese,11,5.68,5.41,1,0,0,0,0,0,0,4,0,2
4458,D,Dd;E,Candela,Venezia,14,5.46,5.25,0,0,0,0,0,0,0,2,0,1
581,D,Dd;E,Faraoni,Verona,5,5.6,5.6,0,0,0,0,0,0,0,0,0,0
6679,D,Dd;Ds;E,Esteves G.,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
6803,D,Ds;E,Rouhi,Juventus,4,5.62,5.62,0,0,0,0,0,0,0,0,0,0
6832,D,E,Palestra,Atalanta,1,6,6,0,0,0,0,0,0,0,0,0,0
6885,D,Dd;E,Abdulhamid,Roma,3,5.67,6,0,0,0,0,0,0,1,0,0,0
6892,D,Dd;Dc,Schingtienne,Venezia,5,5.5,5.3,0,0,0,0,0,0,0,2,0,0
6890,D,Dc,Moreno M.,Fiorentina,2,5.5,5.5,0,0,0,0,0,0,0,0,0,0
5554,D,Dd;Dc,Daniliuc,Verona,13,5.38,5.38,0,0,0,0,0,0,0,0,0,0
5856,D,Dd;E,Sambia,Empoli,3,5.83,5.83,0,0,0,0,0,0,0,0,0,0
5900,D,Dc,Toure' I.s.,Udinese,11,5.59,5.41,1,0,0,0,0,0,0,2,2,1
6496,D,Ds;E,Bartesaghi,Milan,2,5,4.5,0,0,0,0,0,0,0,0,1,0
4807,D,Dc,Hermoso,Roma,4,5.12,4.88,0,0,0,0,0,0,0,0,1,0
6916,D,B;Ds;E,Ahanor,Genoa,2,6,6,0,0,0,0,0,0,0,0,0,0
6977,D,Dc,Otoa,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
6992,D,B;Dd;E,Oyegoke,Verona,2,6,5.75,0,0,0,0,0,0,0,1,0,0
6990,D,Dd;E,Veiga D.,Lecce,1,6,6,0,0,0,0,0,0,0,0,0,0
6993,D,Dc,Brorsson,Monza,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0
7020,D,Ds;E,Salah-Eddine,Roma,1,5,5,0,0,0,0,0,0,0,0,0,0
